time recorded,turntable temp, turntable velocity, turntable goal, turntable position, turntable torque, shoulder temp, shoulder velocity, shoulder goal, shoulder position, shoulder torque, elbow temp, elbow velocity, elbow goal, elbow position, elbow torque, wrist temp, wrist velocity, wrist goal, wrist position, wrist torque, wrist rotation temp, wrist rotation velocity, wrist rotation goal, wrist rotation position, wrist rotation torque, gripper temp, gripper velocity, gripper goal, gripper position, gripper torque
1530844701,28,0,2437,2437,1,27,0,2654,2653,1,27,0,637,636,1,27,0,1295,1295,1,27,0,2048,2048,1,28,0,2470,2470,1,
1530844706,28,0,2437,2437,1,27,0,2654,2653,1,27,0,637,636,1,27,0,1295,1295,1,27,0,2048,2048,1,28,0,2470,2470,1,
1530844706,28,0,2437,2437,1,27,0,2654,2653,1,26,0,637,636,1,27,0,1295,1295,1,27,0,2048,2048,1,28,0,2470,2470,1,
1530844712,28,0,2437,2437,1,27,0,2654,2653,1,26,0,637,636,1,27,0,1295,1295,1,27,0,2048,2048,1,28,0,2470,2470,1,
1530844712,28,0,2437,2437,1,27,0,2654,2653,1,28,0,637,636,1,27,0,1295,1295,1,27,0,2048,2048,1,27,0,2470,2470,1,
1530844717,28,0,2437,2437,1,27,0,2654,2653,1,28,0,637,636,1,27,0,1295,1295,1,27,0,2048,2048,1,27,0,2470,2470,1,
1530844723,28,0,2437,2437,1,27,0,2654,2653,1,27,0,637,636,1,27,0,1295,1295,1,27,0,2048,2048,1,27,0,2470,2470,1,
1530844723,28,0,2437,2437,1,27,0,2654,2653,1,27,0,637,636,1,27,0,1295,1295,1,27,0,2048,2048,1,28,0,2470,2470,1,
1530844728,28,0,2437,2437,1,27,0,2654,2653,1,27,0,637,636,1,27,0,1295,1295,1,27,0,2048,2048,1,28,0,2470,2470,1,
1530844728,28,0,2437,2437,1,28,0,2654,2653,1,27,0,637,636,1,27,0,1295,1295,1,27,0,2048,2048,1,27,0,2470,2470,1,
1530844728,28,0,2437,2437,1,28,0,2654,2653,1,27,0,637,636,1,27,0,1295,1295,1,27,0,2048,2048,1,27,0,2470,2470,1,
1530844734,28,0,2437,2437,1,28,0,2654,2653,1,27,0,637,636,1,27,0,1295,1295,1,27,0,2048,2048,1,27,253,1701,2112,1,
1530844734,28,0,2437,2437,1,28,0,2654,2653,1,27,0,637,636,1,27,0,1295,1295,1,28,0,2048,2049,1,28,253,1701,1721,1,
1530844739,28,0,2437,2437,1,28,0,2654,2653,1,27,0,637,636,1,27,0,1295,1295,1,28,0,2048,2049,1,28,253,1701,1721,1,
1530844739,28,0,2437,2437,1,28,0,2654,2653,1,27,0,637,636,1,27,0,1295,1295,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844744,28,0,2437,2437,1,28,0,2654,2653,1,27,0,637,636,1,27,0,1295,1295,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844750,28,0,2437,2437,1,28,0,2654,2653,1,27,0,637,636,1,27,0,1295,1295,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844750,28,0,2437,2437,1,27,0,2853,2854,1,27,0,637,636,1,27,0,1295,1295,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844755,28,0,2437,2437,1,27,0,2853,2854,1,27,0,637,636,1,27,0,1295,1295,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844755,29,0,2437,2437,1,27,0,2853,2854,1,27,0,637,638,1,28,0,1295,1295,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844761,29,0,2437,2437,1,27,0,2853,2854,1,27,0,637,638,1,28,0,1295,1295,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844766,29,0,2415,2414,1,27,0,2882,2885,1,27,0,600,600,1,28,0,1298,1298,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844766,29,0,2393,2393,1,28,0,2910,2908,1,27,0,567,565,1,27,0,1305,1305,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844772,29,0,2393,2393,1,28,0,2910,2908,1,27,0,567,565,1,27,0,1305,1305,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844772,29,0,2369,2369,1,27,0,2938,2937,1,27,0,538,537,1,28,0,1316,1317,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844777,29,0,2369,2369,1,27,0,2938,2937,1,27,0,538,537,1,28,0,1316,1317,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844783,28,0,2344,2344,1,28,0,2967,2967,1,27,0,513,513,1,28,0,1330,1330,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844783,29,0,2318,2318,1,28,0,2995,2999,1,27,0,491,490,1,27,0,1348,1349,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844788,29,0,2318,2318,1,28,0,2995,2999,1,27,0,491,490,1,27,0,1348,1349,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844788,29,0,2290,2290,1,28,0,3023,3025,1,27,0,473,472,1,28,0,1369,1369,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844788,29,0,2290,2290,1,28,0,3023,3025,1,27,0,473,472,1,28,0,1369,1369,1,28,0,2048,2048,1,28,0,1701,1701,1,
1539233402,29,0,2260,2260,1,28,0,3051,3052,1,27,0,459,459,1,27,0,1394,1395,1,28,0,2048,2048,1,28,0,1701,1701,1,
1539233402,29,0,2229,2229,1,28,0,3078,3079,1,27,0,448,447,1,28,0,1421,1421,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844799,29,0,2229,2229,1,28,0,3078,3079,1,27,0,448,447,1,28,0,1421,1421,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844799,29,0,2197,2197,1,27,0,3103,3103,1,27,0,441,441,1,28,0,1451,1452,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844805,29,0,2197,2197,1,27,0,3103,3103,1,27,0,441,441,1,28,0,1451,1452,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844810,29,0,2163,2163,1,28,0,3128,3130,1,27,0,437,437,1,28,0,1482,1482,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844810,29,0,2128,2128,1,27,0,3150,3150,1,27,0,436,435,1,28,0,1515,1515,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844816,29,0,2128,2128,1,27,0,3150,3150,1,27,0,436,435,1,28,0,1515,1515,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844816,29,0,2091,2091,1,28,0,3169,3169,1,27,0,438,440,1,27,0,1547,1547,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844821,29,0,2091,2091,1,28,0,3169,3169,1,27,0,438,440,1,27,0,1547,1547,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844826,29,0,2054,2054,1,28,0,3186,3188,1,27,0,443,444,1,27,0,1579,1580,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844826,29,0,2054,2054,1,28,0,3186,3186,1,27,0,443,443,1,28,0,1579,1579,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844832,29,0,2054,2054,1,28,0,3186,3186,1,27,0,443,443,1,28,0,1579,1579,1,28,0,2048,2048,1,28,0,1701,1701,1,
1530844832,29,0,2054,2054,1,28,0,3186,3186,1,27,0,443,443,1,28,0,1579,1580,1,28,0,2048,2048,1,28,3,2510,2059,1,
1530844837,29,0,2054,2054,1,28,0,3186,3186,1,27,0,443,443,1,28,0,1579,1580,1,28,0,2048,2048,1,28,3,2510,2059,1,
1530844843,29,0,2054,2054,1,28,0,3186,3186,1,27,0,443,443,1,28,0,1579,1579,1,28,0,2048,2048,1,28,3,2510,2450,1,
1530844843,29,0,2054,2054,1,28,0,3186,3186,1,27,0,443,443,1,28,0,1579,1579,1,28,0,2048,2048,1,28,0,2510,2510,1,
1530844843,29,0,2054,2054,1,28,0,3186,3186,1,27,0,443,443,1,28,0,1579,1579,1,28,0,2048,2048,1,28,0,2510,2510,1,
1530844843,29,0,2054,2054,1,28,0,3186,3186,1,27,0,443,443,1,28,0,1579,1579,1,28,0,2048,2048,1,29,0,2510,2510,1,
1530844848,29,0,2054,2054,1,28,0,3186,3186,1,27,0,443,443,1,28,0,1579,1579,1,28,0,2048,2048,1,29,0,2510,2510,1,
1530844854,29,0,2054,2054,1,28,0,3186,3186,1,27,0,443,443,1,28,0,1579,1579,1,28,0,2048,2048,1,28,0,2510,2510,1,
1530844854,29,0,2054,2054,1,28,0,3186,3186,1,27,0,443,443,1,28,0,1579,1579,1,28,0,2048,2048,1,28,0,2510,2510,1,
1530844859,29,0,2054,2054,1,28,0,3186,3186,1,27,0,443,443,1,28,0,1579,1579,1,28,0,2048,2048,1,28,0,2510,2510,1,
