time recorded,rocker horizontal,rocker vertical,toggle horizontal,toggle vertical,blu button time depressed,flap,potentiometer lever,potentional knob
1536068150,0,0,0,0,0,0,39,33,
1536068150,0,0,0,0,0,0,39,33,
1536068155,0,0,0,0,0,0,39,32,
1536068155,0,0,0,0,0,0,39,32,
1536068161,0,0,0,0,0,0,39,33,
1536068166,0,0,0,0,0,0,39,33,
1536068166,0,0,0,0,0,0,39,33,
1536068166,0,0,0,0,0,0,39,31,
1536068166,0,0,0,0,0,0,39,31,
1536068172,0,0,0,0,0,0,39,33,
1536068177,0,0,0,0,0,0,39,25,
1536068177,0,0,0,0,0,0,39,25,
1536068183,0,0,0,0,0,0,39,33,
1536068183,0,0,0,0,0,0,39,33,
1536068188,0,0,0,0,0,0,39,31,
1536068194,0,0,0,0,0,0,39,33,
1536068194,0,0,0,0,0,0,39,33,
1536068199,0,0,0,0,0,0,39,34,
1536068199,0,0,0,0,0,0,39,34,
1536068205,0,0,0,0,0,0,39,25,
1536068210,0,0,0,0,0,0,39,32,
1536068210,0,0,0,0,0,0,39,32,
1536068216,0,0,0,0,0,0,39,32,
1536068216,0,0,0,0,0,0,39,32,
1536068221,0,0,0,0,0,0,39,33,
1536068221,0,0,0,0,0,0,39,34,
1536068221,0,0,0,0,0,0,39,34,
1536068227,0,0,0,0,0,0,39,32,
1536068227,0,0,0,0,0,0,39,32,
1536068232,0,0,0,0,0,0,39,33,
1536068237,0,0,0,0,0,0,39,25,
1536068237,0,0,0,0,0,0,39,25,
1536068243,0,0,0,0,0,0,39,33,
1536068243,0,0,0,0,0,0,39,33,
1536068248,0,0,0,0,0,0,39,33,
1536068254,0,0,0,0,0,0,39,33,
1536068254,0,0,0,0,0,0,39,33,
1536068259,0,0,0,0,0,0,39,32,
1536068259,0,0,0,0,0,0,39,32,
1536068266,0,0,0,0,0,0,39,31,
1536068271,0,0,0,0,0,0,39,34,
1536068271,0,0,0,0,0,0,39,34,
1536068277,0,0,0,0,0,0,39,32,
1536068277,0,0,0,0,0,0,39,32,
1536068282,0,0,0,0,0,0,39,33,
1536068282,0,0,0,0,0,0,39,32,
1536068282,0,0,0,0,0,0,39,32,
1536068288,0,0,0,0,0,0,39,32,
1536068288,0,0,0,0,0,0,39,32,
1536068293,0,0,0,0,0,0,39,32,
1536068298,0,0,0,0,0,0,39,33,
1536068298,0,0,0,0,0,0,39,33,
1536068303,0,0,0,0,0,0,39,34,
1536068303,0,0,0,0,0,0,39,34,
1536068309,0,0,0,0,0,0,39,32,
1536068314,0,0,0,0,0,0,39,34,
1536068314,0,0,0,0,0,0,39,34,
1536068319,0,0,0,0,0,0,39,25,
1536068319,0,0,0,0,0,0,39,25,
1536068325,0,0,0,0,0,0,39,34,
1536068330,0,0,0,0,0,0,39,32,
1536068330,0,0,0,0,0,0,39,32,
1536068336,0,0,0,0,0,0,39,33,
1536068336,0,0,0,0,0,0,39,33,
1536068341,0,0,0,0,0,0,39,25,
1536068341,0,0,0,0,0,0,39,34,
1536068341,0,0,0,0,0,0,39,34,
1536068341,0,0,0,0,0,0,39,32,
1536068341,0,0,0,0,0,0,39,32,
1536068352,0,0,0,0,0,0,39,32,
1536068358,0,0,0,0,0,0,39,32,
1536068358,0,0,0,0,0,0,39,32,
1536068363,0,0,0,0,0,0,39,33,
1536068363,0,0,0,0,0,0,39,33,
1536068369,0,0,0,0,0,0,39,32,
1536068374,0,0,0,0,0,0,39,33,
1536068374,0,0,0,0,0,0,39,33,
1536068380,0,0,0,0,0,0,39,34,
1536068380,0,0,0,0,0,0,39,34,
1536068385,0,0,0,0,0,0,39,32,
1536068390,0,0,0,0,0,0,39,34,
1536068390,0,0,0,0,0,0,39,34,
1536068395,0,0,0,0,0,0,39,34,
1536068395,0,0,0,0,0,0,39,34,
1536068395,0,0,0,0,0,0,39,32,
1536068401,0,0,0,0,0,0,39,25,
1536068401,0,0,0,0,0,0,39,25,
1536068406,0,0,0,0,0,0,39,33,
1536068406,0,0,0,0,0,0,39,33,
1536068411,0,0,0,0,0,0,39,32,
1536068417,0,0,0,0,0,0,39,25,
1536068417,0,0,0,0,0,0,39,25,
1536068422,0,0,0,0,0,0,39,34,
1536068422,0,0,0,0,0,0,39,34,
1536068428,0,0,0,0,0,0,39,32,
1536068433,0,0,0,0,0,0,39,33,
1536068433,0,0,0,0,0,0,39,33,
1536068439,0,0,0,0,0,0,39,32,
1536068439,0,0,0,0,0,0,39,32,
1536068444,0,0,0,0,0,0,39,25,
1536068450,0,0,0,0,0,0,39,25,
1536068450,0,0,0,0,0,0,39,25,
1536068455,0,0,0,0,0,0,39,34,
1536068455,0,0,0,0,0,0,39,34,
1536068455,0,0,0,0,0,0,39,34,
1536068461,0,0,0,0,0,0,39,32,
1536068461,0,0,0,0,0,0,39,32,
1536068466,0,0,0,0,0,0,39,33,
1536068466,0,0,0,0,0,0,39,33,
1536068472,0,0,0,0,0,0,39,32,
1536068477,0,0,0,0,0,0,39,25,
1536068477,0,0,0,0,0,0,39,25,
1536068483,0,0,0,0,0,0,39,34,
1536068483,0,0,0,0,0,0,39,34,
1536068488,0,0,0,0,0,0,39,33,
1536068493,0,0,0,0,0,0,39,34,
1536068493,0,0,0,0,0,0,39,34,
1536068499,0,0,0,0,0,0,39,32,
1536068499,0,0,0,0,0,0,39,32,
1536068504,0,0,0,0,0,0,39,32,
1536068510,0,0,0,0,0,0,39,34,
1536068510,0,0,0,0,0,0,39,34,
1536068515,0,0,0,0,0,0,39,32,
1536068515,0,0,0,0,0,0,39,32,
1536068515,0,0,0,0,0,0,39,34,
1536068521,0,0,0,0,0,0,39,32,
1536068521,0,0,0,0,0,0,39,32,
1536068526,0,0,0,0,0,0,39,34,
1536068526,0,0,0,0,0,0,39,34,
1536068532,0,0,0,0,0,0,39,32,
1536068537,0,0,0,0,0,0,39,34,
1536068537,0,0,0,0,0,0,39,34,
1536068543,0,0,0,0,0,0,39,25,
1536068543,0,0,0,0,0,0,39,25,
1536068420,0,0,0,0,0,0,39,34,
1536068554,0,0,0,0,0,0,39,33,
1536068554,0,0,0,0,0,0,39,33,
1536068559,0,0,0,0,0,0,39,32,
1536068559,0,0,0,0,0,0,39,32,
1536068565,0,0,0,0,0,0,39,32,
1536068570,0,0,0,0,0,0,39,25,
1536068570,0,0,0,0,0,0,39,25,
1536068576,0,0,0,0,0,0,39,34,
1536068576,0,0,0,0,0,0,39,34,
1536068576,0,0,0,0,0,0,39,32,
1536068581,0,0,0,0,0,0,39,25,
1536068581,0,0,0,0,0,0,39,25,
1536068586,0,0,0,0,0,0,39,34,
1536068586,0,0,0,0,0,0,39,34,
1536068592,0,0,0,0,0,0,39,34,
1536068597,0,0,0,0,0,0,39,34,
1536068597,0,0,0,0,0,0,39,34,
1536068603,0,0,0,0,0,0,39,32,
1536068603,0,0,0,0,0,0,39,32,
1536068608,0,0,0,0,0,0,39,33,
1536068614,0,0,0,0,0,0,39,33,
1536068614,0,0,0,0,0,0,39,33,
1536068619,0,0,0,0,0,0,39,34,
1536068619,0,0,0,0,0,0,39,34,
1536068625,0,0,0,0,0,0,39,34,
1536068630,0,0,0,0,0,0,39,34,
1536068630,0,0,0,0,0,0,39,34,
1527680022,0,0,0,0,0,0,39,34,
1527680022,0,0,0,0,0,0,39,34,
1536068636,0,0,0,0,0,0,39,34,
