time recorded,turntable temp, turntable velocity, turntable goal, turntable position, turntable torque, shoulder temp, shoulder velocity, shoulder goal, shoulder position, shoulder torque, elbow temp, elbow velocity, elbow goal, elbow position, elbow torque, wrist temp, wrist velocity, wrist goal, wrist position, wrist torque, wrist rotation temp, wrist rotation velocity, wrist rotation goal, wrist rotation position, wrist rotation torque, gripper temp, gripper velocity, gripper goal, gripper position, gripper torque
1527646464,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1527646464,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536067845,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536067851,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536067851,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536067856,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536067856,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067862,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067867,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067867,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067867,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067867,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067873,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067878,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,25,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067878,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,25,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067883,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,25,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067883,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067889,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067894,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067894,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067900,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067900,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067905,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067911,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067911,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067916,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067916,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067922,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536067927,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
