1530844583,27,1001,40,27,1001,40,2512,2731,2850,3106,-12700,-12700,-12700,2900,-12700,2825,-12700,-12700,-12700,0,0,2462,
1530844588,27,1001,40,27,1001,40,2512,2725,2850,3125,-12700,-12700,-12700,2912,-12700,2825,-12700,-12700,-12700,0,0,2462,
1530844594,27,1001,40,27,1001,40,2512,2725,2850,3143,-12700,-12700,-12700,2912,-12700,2825,-12700,-12700,-12700,0,0,2462,
1539233207,27,873,40,27,873,40,2512,2725,2850,3162,-12700,-12700,-12700,2912,-12700,2825,-12700,-12700,-12700,0,0,2462,
1530844599,27,1001,40,27,1001,40,2512,2725,2850,3162,-12700,-12700,-12700,2912,-12700,2825,-12700,-12700,-12700,0,0,2462,
1530844477,27,1001,40,27,1001,40,2512,2725,2850,3175,-12700,-12700,-12700,2912,-12700,2825,-12700,-12700,-12700,0,0,2462,
1530844610,27,1001,40,27,1001,40,2512,2725,2850,3193,-12700,-12700,-12700,2912,-12700,2825,-12700,-12700,-12700,0,0,2462,
1530844615,27,1001,40,27,1001,40,2512,2718,2850,3206,-12700,-12700,-12700,2925,-12700,2825,-12700,-12700,-12700,0,0,2462,
1530844621,27,1001,40,27,1001,40,2512,2718,2856,3225,-12700,-12700,-12700,2925,-12700,2825,-12700,-12700,-12700,0,0,2462,
1530844626,27,1001,40,27,1001,40,2512,2718,2856,3237,-12700,-12700,-12700,2925,-12700,2825,-12700,-12700,-12700,0,0,2462,
1530844631,27,1000,40,27,1000,40,2512,2718,2856,3256,-12700,-12700,-12700,2937,-12700,2825,-12700,-12700,-12700,0,0,2462,
1530844631,27,1000,40,27,1000,40,2512,2718,2856,3256,-12700,-12700,-12700,2937,-12700,2825,-12700,-12700,-12700,0,0,2462,
1530844637,27,1001,40,27,1001,40,2512,2718,2856,3268,-12700,-12700,-12700,2937,-12700,2825,-12700,-12700,-12700,0,0,2462,
1530844648,27,1001,40,27,1001,40,2512,2718,2856,3287,-12700,-12700,-12700,2950,-12700,2825,-12700,-12700,-12700,0,0,2462,
1530844648,27,1001,40,27,1001,40,2512,2718,2856,3287,-12700,-12700,-12700,2950,-12700,2825,-12700,-12700,-12700,0,0,2462,
1530844653,27,1001,40,27,1001,40,2512,2718,2862,3300,-12700,-12700,-12700,2950,-12700,2825,-12700,-12700,-12700,0,0,2462,
