0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,,0,0,0,0,0,
1234470180,0,0,0,0,0,0,1,0,1,2,0,0,0,0,,0,0,1,0,1,2,0,0,,0,0,0,0,0,
1530844583,0,0,0,0,0,0,2,0,2,2,0,0,0,0,,0,0,2,0,2,2,0,0,,0,0,0,0,0,
1530844583,0,0,0,0,0,0,3,0,3,4,0,0,0,0,,0,0,3,0,3,4,0,0,,0,0,0,0,0,
1530844588,0,0,0,0,0,0,5,0,5,4,0,0,0,0,,0,0,5,0,5,4,0,0,,0,0,0,0,0,
1530844588,0,0,0,0,0,0,6,0,6,4,0,0,0,0,,0,0,6,0,6,4,0,0,,0,0,0,0,0,
1530844594,0,0,0,0,0,0,9,0,9,4,0,0,0,0,,0,0,9,0,9,4,0,0,,0,0,0,0,0,
1530844594,0,0,0,0,0,0,10,0,10,5,0,0,0,0,,0,0,10,0,10,5,0,0,,0,0,0,0,0,
1530844594,0,0,0,0,0,0,11,0,11,5,0,0,0,0,,0,0,11,0,11,5,0,0,,0,0,0,0,0,
1539233207,0,0,0,0,0,0,12,0,12,7,0,0,0,0,,0,0,12,0,12,7,0,0,,0,0,0,0,0,
1539233207,0,0,0,0,0,0,12,0,12,9,0,0,0,0,,0,0,12,0,12,9,0,0,,0,0,0,0,0,
1530844599,0,0,0,0,0,0,13,0,13,9,0,0,0,0,,0,0,13,0,13,9,0,0,,0,0,0,0,0,
1530844605,0,0,0,0,0,0,14,0,14,11,0,0,0,0,,0,0,14,0,14,11,0,0,,0,0,0,0,0,
1530844605,0,0,0,0,0,0,14,0,14,13,0,0,0,0,,0,0,14,0,14,13,0,0,,0,0,0,0,0,
1530844477,0,0,0,0,0,0,15,0,15,13,0,0,0,0,,0,0,15,0,15,13,0,0,,0,0,0,0,0,
1530844610,0,0,0,0,0,0,16,0,16,15,0,0,0,0,,0,0,16,0,16,15,0,0,,0,0,0,0,0,
1530844610,0,0,0,0,0,0,16,0,16,17,0,0,0,0,,0,0,16,0,16,17,0,0,,0,0,0,0,0,
1530844610,0,0,0,0,0,0,17,0,17,17,0,0,0,0,,0,0,17,0,17,17,0,0,,0,0,0,0,0,
1530844615,0,0,0,0,0,0,18,0,18,19,0,0,0,0,,0,0,18,0,18,19,0,0,,0,0,0,0,0,
1530844615,0,0,0,0,0,0,18,0,18,21,0,0,0,0,,0,0,18,0,18,21,0,0,,0,0,0,0,0,
1530844621,0,0,0,0,0,0,19,0,19,21,0,0,0,0,,0,0,19,0,19,21,0,0,,0,0,0,0,0,
