time recorded,turntable temp, turntable velocity, turntable goal, turntable position, turntable torque, shoulder temp, shoulder velocity, shoulder goal, shoulder position, shoulder torque, elbow temp, elbow velocity, elbow goal, elbow position, elbow torque, wrist temp, wrist velocity, wrist goal, wrist position, wrist torque, wrist rotation temp, wrist rotation velocity, wrist rotation goal, wrist rotation position, wrist rotation torque, gripper temp, gripper velocity, gripper goal, gripper position, gripper torque
1530844685,24,0,2434,2434,1,23,0,2633,2632,1,23,0,615,616,1,23,0,1204,1204,1,23,0,2048,2048,1,23,0,2470,2470,1,
1530844690,24,0,2434,2434,1,23,0,2633,2632,1,23,0,615,616,1,23,0,1204,1204,1,23,0,2048,2048,1,23,0,2470,2470,1,
1530844690,24,0,2434,2434,1,23,0,2633,2632,1,23,0,615,616,1,23,0,1204,1204,1,23,0,2048,2048,1,24,0,2470,2470,1,
1535793716,24,0,2434,2434,1,23,0,2633,2632,1,23,0,615,616,1,23,0,1204,1204,1,23,0,2048,2048,1,24,0,2470,2470,1,
1535793721,24,0,2434,2434,1,23,0,2633,2632,1,23,0,615,616,1,23,0,1204,1204,1,23,0,2048,2048,1,23,0,2470,2470,1,
1535793721,24,0,2434,2434,1,23,0,2633,2632,1,23,0,615,616,1,23,0,1204,1204,1,23,0,2048,2048,1,24,0,2470,2470,1,
1535793727,24,0,2434,2434,1,23,0,2633,2632,1,23,0,615,616,1,23,0,1204,1204,1,23,0,2048,2048,1,24,0,2470,2470,1,
1535793727,24,0,2434,2434,1,23,0,2633,2632,1,23,0,615,616,1,23,0,1204,1204,1,23,0,2048,2048,1,23,0,2470,2470,1,
1535793732,24,0,2434,2434,1,23,0,2633,2632,1,23,0,615,616,1,23,0,1204,1204,1,23,0,2048,2048,1,23,0,2470,2470,1,
1535793738,24,0,2434,2434,1,23,0,2633,2632,1,24,0,615,616,1,23,0,1204,1204,1,23,0,2048,2048,1,24,0,2470,2470,1,
1535793738,24,0,2434,2434,1,23,0,2633,2632,1,23,0,615,616,1,23,0,1204,1204,1,23,0,2048,2048,1,24,0,2470,2470,1,
1535793743,24,0,2434,2434,1,23,0,2633,2632,1,23,0,615,616,1,23,0,1204,1204,1,23,0,2048,2048,1,24,0,2470,2470,1,
1535793743,24,0,2434,2434,1,23,0,2633,2632,1,23,0,615,616,1,23,0,1204,1204,1,23,0,2048,2048,1,24,0,2470,2470,1,
1535793743,24,0,2434,2434,1,23,0,2633,2632,1,23,0,615,616,1,23,0,1204,1204,1,23,0,2048,2048,1,24,0,2470,2470,1,
1535793748,24,0,2434,2434,1,23,0,2633,2632,1,24,0,615,616,1,23,0,1204,1204,1,23,0,2048,2048,1,24,0,2470,2470,1,
1535793748,24,0,2434,2434,1,23,0,2633,2632,1,23,0,615,616,1,23,0,1204,1204,1,23,0,2048,2048,1,24,0,2470,2470,1,
1535793754,24,0,2434,2434,1,23,0,2633,2632,1,23,0,615,616,1,23,0,1204,1204,1,23,0,2048,2048,1,24,0,2470,2470,1,
1535793754,24,0,2434,2434,1,23,0,2633,2632,1,24,0,615,616,1,23,0,1204,1204,1,23,0,2048,2048,1,24,0,2470,2470,1,
1535793759,24,0,2434,2434,1,23,0,2633,2632,1,24,0,615,616,1,23,0,1204,1204,1,23,0,2048,2048,1,24,0,2470,2470,1,
1535793765,24,0,2434,2434,1,23,0,2633,2632,1,23,0,615,616,1,23,0,1204,1204,1,24,0,2048,2048,1,24,0,2470,2470,1,
1535793765,25,0,2434,2434,1,23,0,2633,2632,1,23,0,615,616,1,23,0,1204,1204,1,24,0,2048,2048,1,24,0,2470,2470,1,
1535793770,25,0,2434,2434,1,23,0,2633,2632,1,23,0,615,616,1,23,0,1204,1204,1,24,0,2048,2048,1,24,0,2470,2470,1,
1535793770,25,0,2434,2434,1,23,0,2633,2632,1,23,0,615,616,1,23,0,1204,1204,1,24,0,2048,2048,1,24,0,2470,2470,1,
1535793776,25,0,2434,2434,1,23,0,2633,2632,1,23,0,615,616,1,23,0,1204,1204,1,24,0,2048,2048,1,24,0,2470,2470,1,
1535793781,25,0,2434,2434,1,23,0,2633,2632,1,24,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,23,0,2470,2470,1,
1535793781,25,0,2434,2434,1,23,0,2633,2632,1,23,0,615,616,1,24,0,1204,1204,1,24,0,2048,2048,1,23,0,2470,2470,1,
