time recorded,rocker horizontal,rocker vertical,toggle horizontal,toggle vertical,blu button time depressed,flap,potentiometer lever,potentional knob
1535794016,0,0,0,0,0,0,39,33,
1535794021,0,0,0,0,0,0,39,34,
1535794021,0,0,0,0,0,0,39,34,
1535794027,0,0,0,0,0,0,39,35,
1535794027,0,0,0,0,0,0,39,35,
1535794032,0,0,0,0,0,0,39,34,
1535794038,0,0,0,0,0,0,39,33,
1535794038,0,0,0,0,0,0,39,33,
1535794043,0,0,0,0,0,0,39,34,
1535794043,0,0,0,0,0,0,39,34,
1535794043,0,0,0,0,0,0,39,34,
1535794049,0,0,0,0,0,0,39,34,
1535794049,0,0,0,0,0,0,39,34,
1535794054,0,0,0,0,0,0,39,34,
1535794054,0,0,0,0,0,0,39,34,
1535794060,0,0,0,0,0,0,39,34,
1535794065,0,0,0,0,0,0,39,32,
1535794065,0,0,0,0,0,0,39,32,
1535794070,0,0,0,0,0,0,39,34,
1535794070,0,0,0,0,0,0,39,34,
1535794076,0,0,0,0,0,0,39,33,
1535794081,0,0,0,0,0,0,39,32,
1535794081,0,0,0,0,0,0,39,32,
1535794087,0,0,0,0,0,0,39,34,
1535794087,0,0,0,0,0,0,39,34,
1535794092,0,0,0,0,0,0,39,33,
1535794098,0,0,0,0,0,0,39,34,
1535794098,0,0,0,0,0,0,39,34,
1535794103,0,0,0,0,0,0,39,25,
1535794103,0,0,0,0,0,0,39,25,
1535794103,0,0,0,0,0,0,39,34,
1535794109,0,0,0,0,0,0,39,33,
1535794109,0,0,0,0,0,0,39,33,
1535794114,0,0,0,0,0,0,39,34,
1535794114,0,0,0,0,0,0,39,34,
1535794120,0,0,0,0,0,0,39,34,
1535794125,0,0,0,0,0,0,39,33,
1535794125,0,0,0,0,0,0,39,33,
1535794131,0,0,0,0,0,0,39,34,
1535794131,0,0,0,0,0,0,39,34,
1535794136,0,0,0,0,0,0,39,33,
1535794142,0,0,0,0,0,0,39,34,
1535794142,0,0,0,0,0,0,39,34,
1535794147,0,0,0,0,0,0,39,32,
1535794147,0,0,0,0,0,0,39,32,
1535794152,0,0,0,0,0,0,39,25,
1535794158,0,0,0,0,0,0,39,25,
1535794158,0,0,0,0,0,0,39,25,
1535794158,0,0,0,0,0,0,39,34,
1535794158,0,0,0,0,0,0,39,34,
1535794163,0,0,0,0,0,0,38,34,
1535794169,0,0,0,0,0,0,39,34,
1535794169,0,0,0,0,0,0,39,34,
1535794174,0,0,0,0,0,0,39,33,
1535794174,0,0,0,0,0,0,39,33,
1535794180,0,0,0,0,0,0,39,33,
1535794185,0,0,0,0,0,0,39,34,
1535794185,0,0,0,0,0,0,39,34,
1535794191,0,0,0,0,0,0,39,34,
1535794191,0,0,0,0,0,0,39,34,
1535794196,0,0,0,0,0,0,39,34,
1535794202,0,0,0,0,0,0,39,34,
1535794202,0,0,0,0,0,0,39,34,
1535794207,0,0,0,0,0,0,39,34,
1535794207,0,0,0,0,0,0,39,34,
1535794213,0,0,0,0,0,0,39,33,
1535794218,0,0,0,0,0,0,39,33,
1535794218,0,0,0,0,0,0,39,33,
1535794218,0,0,0,0,0,0,39,25,
1535794218,0,0,0,0,0,0,39,25,
1535794224,0,0,0,0,0,0,39,33,
1535794229,0,0,0,0,0,0,39,25,
1535794229,0,0,0,0,0,0,39,25,
1535794234,0,0,0,0,0,0,39,32,
1535794234,0,0,0,0,0,0,39,32,
1535794240,0,0,0,0,0,0,39,33,
1535794245,0,0,0,0,0,0,39,34,
1535794245,0,0,0,0,0,0,39,34,
1535794251,0,0,0,0,0,0,39,34,
1535794251,0,0,0,0,0,0,39,34,
1535794251,0,0,0,0,0,0,39,33,
1535794262,0,0,0,0,0,0,39,34,
1535794262,0,0,0,0,0,0,39,34,
1535794284,0,0,0,0,0,0,39,32,
1535794284,0,0,0,0,0,0,39,32,
1535794290,0,0,0,0,0,0,39,34,
1535794290,0,0,0,0,0,0,39,34,
1535794295,0,0,0,0,0,0,39,34,
